Date,BTC
2019-01-31,3574.81
2019-02-01,3559.00
2019-02-02,3572.00
2019-02-03,3566.80
2019-02-04,3522.70
2019-02-05,3517.50
2019-02-06,3521.00
2019-02-07,3462.30
2019-02-08,3800.00
2019-02-09,3740.00
2019-02-10,3748.00
2019-02-11,3750.00
2019-02-12,3728.00
2019-02-13,3742.39
2019-02-14,3682.87
2019-02-15,3719.00
2019-02-16,3726.70
2019-02-17,3790.00
2019-02-18,4021.00
2019-02-19,4083.50
2019-02-20,4070.00
2019-02-21,4145.00
2019-02-22,4074.00
2019-02-23,4255.00
2019-02-25,3966.50
2019-02-26,3934.10
2019-02-27,3934.00
2019-02-28,3988.00
2019-03-01,3949.00
2019-03-02,3924.00
2019-03-03,3925.00
2019-03-04,3911.10
2019-03-05,3968.70
2019-03-06,3986.50
2019-03-07,3997.40
2019-03-08,4021.00
2019-03-09,4046.20
2019-03-10,4017.20
2019-03-11,4009.20
2019-03-12,3979.50
2019-03-13,3972.60
2019-03-14,4004.00
2019-03-15,4011.00
2019-03-16,4166.80
2019-03-17,4089.90
2019-03-18,4120.00
2019-03-19,4120.00
2019-03-20,4134.20
2019-03-21,4146.90
2019-03-22,4070.60
2019-03-23,4084.00
2019-03-24,4064.80
2019-03-25,4049.90
2019-03-26,3992.00
2019-03-27,4106.10
2019-03-28,4114.40
2019-03-29,4197.20
2019-03-30,4210.00
2019-03-31,4182.90
2019-04-01,4224.60
2019-04-02,5106.91
2019-04-03,5335.50
2019-04-04,5100.00
2019-04-05,5132.50
2019-04-06,5280.00
2019-04-07,5321.60
2019-04-08,5373.90
2019-04-09,5336.20
2019-04-10,5488.00
2019-04-11,5342.10
2019-04-12,5134.90
2019-04-13,5163.00
2019-04-14,5210.00
2019-04-15,5218.60
2019-04-16,5256.70
2019-04-17,5300.00
2019-04-18,5340.00
2019-04-19,5376.00
2019-04-20,5404.85
2019-04-21,5368.00
2019-04-22,5459.50
2019-04-23,5647.40
2019-04-24,5690.00
2019-04-25,5558.00
2019-04-26,5525.00
2019-04-27,5458.00
2019-04-28,5545.70
2019-04-29,5518.00
2019-04-30,5612.00
2019-05-01,5655.00
2019-05-02,5784.30
2019-05-03,6150.00
2019-05-04,6189.99
